Outubro - 2014,256,254,244,250,244,252,257,226,246,246,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Setembro - 2014,262,256,251,212,248,257,272,225,241,233,244,235,221,218,232,235,227,236,221,228,195,245,262,227,238,219,258,232,232,246
Agosto - 2014,222,235,235,243,232,226,278,239,235,246,215,221,249,231,206,264,225,242,236,257,250,256,223,242,205,244,241,226,242,237,237
Julho - 2014,238,244,241,250,234,233,224,219,244,273,216,234,239,239,253,258,257,234,222,181,221,221,250,225,207,240,247,240,218,230,245
Junho - 2014,236,235,258,219,270,245,245,248,224,242,222,221,276,249,275,289,246,254,249,232,249,243,206,225,221,217,235,227,218,227
Maio - 2014,269,240,269,279,260,264,246,255,232,239,238,241,232,223,220,277,236,221,246,252,215,226,225,223,204,230,240,249,253,261,255
Abril - 2014,313,324,311,248,282,299,278,299,281,277,269,273,250,290,283,294,291,257,279,231,260,255,256,268,214,258,278,261,247,263
Mar&ccedil;o - 2014,313,307,292,265,277,314,296,307,291,268,299,294,304,298,277,282,281,288,273,320,265,264,241,261,294,245,270,274,271,273,275
Fevereiro - 2014,316,323,320,313,316,343,318,307,299,356,332,316,342,347,334,292,312,295,306,326,310,320,293,331,334,311,354,294
Janeiro - 2014,348,360,379,314,340,333,348,323,309,306,339,314,330,355,321,262,308,307,313,312,303,336,294,322,333,306,352,323,309,313,344
December - 2013,226,215,248,235,260,256,231,242,251,246,265,247,250,219,243,267,267,256,271,237,220,217,238,230,229,305,273,258,240,289,267
Novembro - 2013,183,156,206,178,189,215,188,170,184,190,194,192,216,203,183,201,187,226,205,202,236,218,209,189,214,220,230,259,227,215
Outubro - 2013,163,144,116,135,163,172,168,187,178,182,149,160,149,154,179,172,156,184,152,144,177,193,170,189,167,151,182,185,156,185,168
Setembro - 2013,142,144,157,141,169,144,131,140,128,159,165,146,142,146,159,178,156,145,151,141,155,166,147,157,152,156,140,159,126,158
Agosto - 2013,110,116,106,110,130,117,112,111,110,113,120,132,105,130,95,97,127,130,122,119,111,128,131,113,137,112,116,118,121,129,126
Julho - 2013,114,127,109,136,103,96,158,151,181,184,168,130,125,120,129,127,120,141,91,114,109,103,128,116,102,120,91,108,113,95,123
Junho - 2013,52,74,57,62,70,75,62,56,49,64,64,66,69,79,71,79,80,85,78,73,79,65,84,77,84,75,83,102,84,100
Maio - 2013,44,22,39,45,35,46,33,34,33,28,30,38,39,38,57,39,36,46,47,46,47,52,37,41,40,47,43,48,45,41,51
Abril - 2013,24,26,20,29,17,22,20,21,23,24,24,28,16,19,26,18,24,24,22,28,21,21,25,24,33,35,23,29,22,27
Mar&ccedil;o - 2013,15,8,16,15,9,21,14,18,20,7,8,11,16,9,15,10,14,12,20,21,10,13,18,9,22,16,16,14,15,20,10
Fevereiro - 2013,6,11,7,9,14,4,10,7,14,5,3,10,11,11,14,10,13,14,16,14,6,18,11,12,22,20,10,11
Janeiro - 2013,6,8,5,7,5,12,5,9,7,10,13,10,9,10,8,7,16,9,11,5,11,7,4,7,6,9,7,8,9,9,5
December - 2012,11,9,8,7,5,10,4,6,6,10,9,9,3,10,6,12,8,10,10,11,6,6,8,7,11,9,5,5,8,7,5
Novembro - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,4,8,10,4,6,9,4,10,12,8,6,8,6
Outubro - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Setembro - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agosto - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julho - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junho - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maio - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abril - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
